"goal_id","reminder_key","sent_at_utc"
"boxing","2026-08-12","2026-08-13T05:18:21Z"
"boxing","2026-08-17:mon","2026-08-17T23:48:08Z"
"boxing","2026-08-18:makeup","2026-08-18T23:12:31Z"
"boxing","2026-08-19:wed","2026-08-19T23:48:21Z"
"boxing","2026-08-19:wed:missed","2026-08-20T05:08:36Z"
"boxing","2026-08-20:makeup","2026-08-20T23:54:11Z"
"boxing","2026-08-21:fri","2026-08-21T23:51:29Z"
"boxing","2026-08-21:fri:missed","2026-08-22T05:02:07Z"
"boxing","2026-08-22:sat","2026-08-22T13:43:46Z"
"boxing","2026-08-22:sat:missed","2026-08-23T03:30:44Z"
"boxing","2026-08-23:makeup","2026-08-23T23:42:38Z"
"dashboard","2026-W34","2026-08-24T03:33:20Z"
"boxing","2026-08-24:mon","2026-08-24T23:46:48Z"
"boxing","2026-08-24:mon:missed","2026-08-25T05:17:40Z"
"boxing","2026-08-27:makeup","2026-08-28T00:51:56Z"
"boxing","2026-08-28:fri","2026-08-28T23:02:52Z"
"boxing","2026-08-28:fri:missed","2026-08-29T03:33:34Z"
"boxing","2026-08-29:sat","2026-08-29T13:33:13Z"
"boxing","2026-08-29:sat:missed","2026-08-30T03:33:19Z"
"boxing","2026-08-30:makeup","2026-08-30T23:03:08Z"
